stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Pennsylvania_Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,Pennsylvania Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-PA-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-PA-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
People_using_at_least_basic_drinking_water_services - 1 yr,[1][0].value,31449600,0,float,People using at least basic drinking water services,services,https://api.worldbank.org/v2/country/WLD/indicator/SH.H2O.BASW.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Permanent_cropland - 1 yr,[1][0].value,31449600,0,float,Permanent cropland,,https://api.worldbank.org/v2/country/WLD/indicator/AG.LND.CROP.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Personal_Consumption_Expenditures_Durable_Goods - 1 month,observations[-1].value,2592000,0,float,Personal Consumption Expenditures Durable Goods,spend,https://api.stlouisfed.org/fred/series/observations?series_id=PCEDG&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCEDG&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Personal_Consumption_Expenditures_Nondurable_Goods - 1 month,observations[-1].value,2592000,0,float,Personal Consumption Expenditures Nondurable Goods,spend,https://api.stlouisfed.org/fred/series/observations?series_id=PCEND&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCEND&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Personal_Consumption_Expenditures_Price - 1 month,observations[-1].value,2592000,0,float,Personal Consumption Expenditures Price,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCEPI&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCEPI&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Personal_consumption_expenditures_Price_index - 3 months,observations[-1].value,7776000,0,float,Personal consumption expenditures Price index,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=A064RC1Q027SBEA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=A064RC1Q027SBEA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Personal_Consumption_Expenditures_Services - 1 month,observations[-1].value,2592000,0,float,Personal Consumption Expenditures Services,spend,https://api.stlouisfed.org/fred/series/observations?series_id=PCES&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCES&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Personal_Consumption_Price_Index - 3 months,observations[-1].value,7776000,0,float,Personal Consumption Price Index,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCECTPI&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCECTPI&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Personal_Current_Transfer_Receipts - 1 month,observations[-1].value,2592000,0,float,Personal Current Transfer Receipts,capital,https://api.stlouisfed.org/fred/series/observations?series_id=PCTR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCTR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
